filename,ID,Concepto,ValorPagar
2110376038_1025335_NOV2024.pdf,0031,CONSUMO DE GAS NATURAL,62971
2110376038_1025335_NOV2024.pdf,0177,SEGURO FNB,13248
2110376038_1025335_NOV2024.pdf,0196,SUBSIDIO AL CONSUMO,36156
2110376038_1025335_NOV2024.pdf,0793,SEGURO DE VIDA,26460
2110376038_1025335_NOV2024.pdf,0884,CREDITO MOTO,199835
2110376038_1025335_NOV2024.pdf,0897,INTERES FINANCIACION BRILLA,195933
JUL2025.pdf,0031,CONSUMO DE GAS NATURAL,42237
JUL2025.pdf,0177,SEGURO FNB,17503
JUL2025.pdf,0196,SUBSIDIO AL CONSUMO,24455
JUL2025.pdf,0884,CREDITO MOTO,224245
JUL2025.pdf,0897,INTERES FINANCIACION BRILLA,161371
JUL2025.pdf,N,,0
